Date,NeuralNetwork
2019-07-19,-0.0025108207270592153
2019-07-22,0.0
2019-07-23,0.0
2019-07-24,0.0
2019-07-25,0.0
2019-07-26,-0.006309556921537562
2019-07-29,-0.0022358410556538866
2019-07-30,-0.004182495927285701
2019-07-31,-0.005874434950229879
2019-08-01,-0.014329217681635309
2019-08-02,-0.02577413296178821
2019-08-05,-0.03555337448699969
2019-08-06,-0.04308610876014818
2019-08-07,-0.03686049229417576
2019-08-08,-0.028703636668445887
2019-08-12,-0.028353940332871863
2019-08-13,-0.04023828138564989
2019-08-14,-0.03503593269807537
2019-08-15,-0.046599081404858356
2019-08-16,-0.03257556814549023
2019-08-19,-0.021660644515689498
2019-08-20,-0.02140342446159571
2019-08-21,-0.02324473217288936
2019-08-22,-0.024392545409652966
2019-08-23,-0.02130528785279051
2019-08-26,-0.035572692798142236
2019-08-27,-0.03206456560359583
2019-08-28,-0.022799249144607403
2019-08-29,-0.020867066532856304
2019-08-30,-0.008090331178044474
2019-09-02,-0.005285311380265889
2019-09-03,-0.010777295941176157
2019-09-04,-0.003257281479779106
2019-09-05,0.0
2019-09-06,0.0
2019-09-10,-0.0042768389754722635
2019-09-11,-0.0035380529596782395
2019-09-12,0.0
2019-09-16,0.0
2019-09-17,-0.0017036201674612839
2019-09-18,0.0
2019-09-19,-0.0006156018038407929
2019-09-20,0.0
2019-09-23,-0.00316314209291757
2019-09-24,-0.004351225160873717
2019-09-25,-0.009024713903572845
2019-09-26,-0.011491725374943806
2019-09-27,-0.02088336954145975
2019-10-01,-0.008765813855508342
2019-10-02,-0.013228963464419041
2019-10-03,-0.019881990922039794
2019-10-04,-0.016273392988523483
2019-10-07,-0.01541583904158439
2019-10-08,-0.010742490218192735
2019-10-09,-0.024165685074957532
2019-10-14,-0.008081229564164016
2019-10-15,-0.005162670404838532
2019-10-16,-0.002092432424398716
2019-10-17,0.0
2019-10-18,0.0
2019-10-21,0.0
2019-10-22,0.0
2019-10-23,0.0
2019-10-24,0.0
2019-10-25,-0.006579189140587083
2019-10-28,-0.006488261686155128
2019-10-29,-0.002264832742922551
2019-10-30,0.0
2019-10-31,-0.0012380226833185182
2019-11-01,0.0
2019-11-04,0.0
2019-11-05,0.0
2019-11-06,0.0
2019-11-07,-0.005717977809747032
2019-11-08,-0.008799065899877778
2019-11-11,-0.020548739139633065
2019-11-12,-0.010307720273180832
2019-11-13,-0.015196367948358769
2019-11-14,-0.008615983719401643
2019-11-15,-0.006018915950843584
2019-11-18,0.0
2019-11-19,0.0
2019-11-20,-0.0015014936972322923
2019-11-21,-0.009370562500014556
2019-11-22,-0.0007527576904653444
2019-11-25,-0.004285371623878431
2019-11-26,-0.005722711315658047
2019-11-27,-0.001986546799718214
2019-11-28,-0.0047499280150614664
2019-11-29,-0.015144536675949616
2019-12-02,-0.014710364463996428
2019-12-03,-0.009680643221629759
2019-12-04,-0.01012009481391507
2019-12-05,-0.0032266374939672327
2019-12-06,-0.002255310290286028
2019-12-09,0.0
2019-12-10,0.0
2019-12-11,0.0
2019-12-12,0.0
2019-12-13,0.0
2019-12-16,0.0
2019-12-17,0.0
2019-12-18,0.0
2019-12-19,-0.005782231161388096
2019-12-20,-0.012803550035823452
2019-12-23,-0.007340981739497154
2019-12-24,-0.012307870587063952
2019-12-25,-0.01047320330518886
2019-12-26,-0.010554006922801729
2019-12-27,-0.0027757893522116772
2019-12-30,-0.006013610278682524
2019-12-31,-0.012465707719515273
2020-01-02,-0.012539985439593226
2020-01-03,-0.006597808392717397
2020-01-06,-0.016068458149459564
2020-01-07,-0.018355042637434815
2020-01-08,-0.02752762214407367
2020-01-09,-0.01953672360485892
2020-01-10,-0.016149995157191732
2020-01-13,-0.008737835173131092
2020-01-14,-0.00631409170723507
2020-01-15,-0.008507991847327645
2020-01-16,-0.005085884072865254
2020-01-17,-0.0001828335156065508
2020-01-20,0.0
2020-01-30,-0.05443816437730031
2020-01-31,-0.04903718403687285
2020-02-03,-0.059111476100281446
2020-02-04,-0.045694354154931505
2020-02-05,-0.042743458874336504
2020-02-06,-0.02769737975897346
2020-02-07,-0.03568345858716726
2020-02-10,-0.039724943387627665
2020-02-11,-0.02985892328938422
2020-02-12,-0.020616928588744088
2020-02-13,-0.018348465564800298
2020-02-14,-0.02077680433585327
2020-02-17,-0.026927471490676758
2020-02-18,-0.0344601971016566
2020-02-19,-0.028002574371054023
2020-02-20,-0.029608864575766503
2020-02-21,-0.03660303855075897
2020-02-24,-0.04982212792202634
2020-02-25,-0.04953330519415655
2020-02-26,-0.05579418303275896
2020-02-27,-0.0700134160656174
2020-03-02,-0.08381753975913775
2020-03-03,-0.07936861885663826
2020-03-04,-0.07136163101381199
2020-03-05,-0.061164024275308426
2020-03-06,-0.07761307758360803
2020-03-09,-0.10110395248528992
2020-03-10,-0.09618732305636313
2020-03-11,-0.1023549427279401
2020-03-12,-0.13571885727449706
2020-03-13,-0.16036993659169307
2020-03-16,-0.197371568438237
2020-03-17,-0.22458313674076336
2020-03-18,-0.24102432016163022
2020-03-19,-0.28891113296912296
2020-03-20,-0.2517206697012586
2020-03-23,-0.2713162880721811
2020-03-24,-0.24414162655837224
2020-03-25,-0.21314755467459034
2020-03-26,-0.21066192280602347
2020-03-27,-0.20744070721066477
2020-03-30,-0.21263352468195496
2020-03-31,-0.21135429710029197
2020-04-01,-0.2152978259043521
2020-04-06,-0.20514895486511642
2020-04-07,-0.19620168617028078
2020-04-08,-0.17554464884322973
2020-04-09,-0.1654489068439582
2020-04-10,-0.16138415479837032
2020-04-13,-0.17032751026987225
2020-04-14,-0.15530198492849245
2020-04-15,-0.1438338744725095
2020-04-16,-0.15354137225791442
2020-04-17,-0.15032442006927604
2020-04-20,-0.15398032862066813
2020-04-21,-0.17073991661424892
2020-04-22,-0.16938366791545634
2020-04-23,-0.16499743640843645
2020-04-24,-0.16837558722845225
2020-04-27,-0.15111949949485437
2020-04-28,-0.13380200092584005
2020-04-29,-0.11079722248761004
2020-04-30,-0.09457269405041901
2020-05-04,-0.11777344768841391
2020-05-05,-0.11971501727483636
2020-05-06,-0.12483264426624141
2020-05-07,-0.12079448314412566
2020-05-08,-0.11619683088532995
2020-05-11,-0.10334793804768017
2020-05-12,-0.11343597582832898
2020-05-13,-0.1078464669417123
2020-05-14,-0.11657397608431708
2020-05-15,-0.11901161445530217
2020-05-18,-0.11918506030111631
2020-05-19,-0.10441731741251936
2020-05-20,-0.10544748942483306
2020-05-21,-0.09372813113801814
2020-05-22,-0.10929696996680172
2020-05-25,-0.10681554967000373
2020-05-26,-0.09800107759143706
2020-05-27,-0.09467523375416687
2020-05-28,-0.10059005103547825
2020-05-29,-0.10105011352411575
2020-06-01,-0.09079955844465104
2020-06-02,-0.08609651427782472
2020-06-03,-0.07354324312633764
2020-06-04,-0.0693348228496008
2020-06-05,-0.05769178724675772
2020-06-08,-0.05109752629309161
2020-06-09,-0.04882994830980303
2020-06-10,-0.048487568621512156
2020-06-11,-0.06410879022083815
2020-06-12,-0.0769983978193508
2020-06-15,-0.08675628826906046
2020-06-16,-0.06853773217304848
2020-06-17,-0.06958677060488072
2020-06-18,-0.07140087313957255
2020-06-19,-0.07267165998349667
2020-06-22,-0.06780538305816497
2020-06-23,-0.06242427597570033
2020-06-24,-0.060181778526540164
2020-06-29,-0.06681103176944125
2020-06-30,-0.06321566305680637
2020-07-01,-0.05577144185902927
2020-07-02,-0.050089863035604365
2020-07-03,-0.03332627010847811
2020-07-06,-0.017319738668692186
2020-07-07,-0.012148571287090792
2020-07-08,-0.007215884460381128
2020-07-09,-0.009135471986966515
2020-07-10,-0.017019669816319083
2020-07-13,-0.006442357102471874
2020-07-14,-0.014456217845793207
2020-07-15,-0.01489570982952726
2020-07-16,-0.011741924382320024
2020-07-17,-0.014684420434655232
2020-07-20,-0.016099220002737447
2020-07-21,-0.0032443955436542993
2020-07-22,0.0
2020-07-23,0.0
2020-07-24,-0.009018585385835443
2020-07-27,0.0
2020-07-28,-0.008913285525688375
2020-07-29,0.0
2020-07-30,0.0
2020-07-31,0.0
2020-08-03,-0.007650209711842049
2020-08-04,0.0
2020-08-05,0.0
2020-08-06,0.0
2020-08-07,-0.0069233757446612865
2020-08-10,0.0
2020-08-11,0.0
2020-08-12,-0.00909447098698224
2020-08-13,-0.003436035477541899
2020-08-14,0.0
2020-08-17,0.0
2020-08-18,-0.014385097597747976
2020-08-19,-0.020308522238483784
2020-08-20,-0.05408618200239623
2020-08-21,-0.037427464803696964
2020-08-24,-0.03657700491712401
2020-08-25,-0.014225316887250594
2020-08-26,-0.007223980531525065
2020-08-27,-0.019492639562261105
2020-08-28,-0.016754882384938274
2020-08-31,-0.01415816371310219
2020-09-01,-0.0043325590656722035
2020-09-02,-0.006235666567848908
2020-09-03,-0.00027990871983774035
2020-09-04,-0.012020559791927177
2020-09-07,-0.007515905309273818
2020-09-08,-0.0057913367454733855
2020-09-09,-0.007576248129251617
2020-09-10,0.0
