Date,XGBoost
2013-12-30,0.0
2013-12-31,-0.0027243553121361064
2014-01-02,-0.005405785963683463
2014-01-03,-0.016203808376028528
2014-01-06,-0.02041859714945171
2014-01-07,-0.01997568093416202
2014-01-08,-0.017503435641004983
2014-01-09,-0.020360693668572405
2014-01-10,-0.022337805963266066
2014-01-13,-0.011876422486433058
2014-01-14,-0.0123012187195779
2014-01-15,-0.006901620540648912
2014-01-16,-0.007248790593038956
2014-01-17,-0.009880861670466423
2014-01-20,-0.004387851875516158
2014-01-21,-0.003637702213904359
2014-01-22,-9.966395599736444e-05
2014-01-23,-0.004061506503445278
2014-01-24,-0.003401310062002616
2014-01-27,-0.019447552940172752
2014-02-05,-0.0468616345717493
2014-02-06,-0.04812137570289765
2014-02-07,-0.040744142039807696
2014-02-10,-0.040620442046691574
2014-02-11,-0.03962215520891876
2014-02-12,-0.028422347674597503
2014-02-13,-0.033743647710643754
2014-02-14,-0.027116561500399206
2014-02-17,-0.02787838215761962
2014-02-18,-0.020328862146475002
2014-02-19,-0.016524019142610924
2014-02-20,-0.025189990594189582
2014-02-21,-0.018448724804143835
2014-02-24,-0.031064584563518682
2014-02-25,-0.0335630260326063
2014-02-26,-0.03204475414728736
2014-02-27,-0.030066296763894496
2014-03-03,-0.029924661580362
2014-03-04,-0.04126867682805313
2014-03-05,-0.02871837084616935
2014-03-06,-0.01822942570363517
2014-03-07,-0.01299544381474349
2014-03-10,-0.02090453113267421
2014-03-11,-0.015836987646342005
2014-03-12,-0.015052753840272715
2014-03-13,-0.0033538895012913406
2014-03-14,-0.0086143747949049
2014-03-17,-0.0086797298140191
2014-03-18,-0.008045380330531149
2014-03-19,-0.015304184207193816
2014-03-20,-0.026065431807054007
2014-03-21,-0.027373104360823963
2014-03-24,-0.020808408077728657
2014-03-25,-0.01368919374098998
2014-03-26,-0.005483580258910492
2014-03-27,0.0
2014-03-28,-0.0006816527400890227
2014-03-31,0.0
2014-04-01,0.0
2014-04-02,0.0
2014-04-03,-0.008146221834653744
2014-04-07,-0.007979637812426499
2014-04-08,-0.00804163856637341
2014-04-09,-0.004682715249103908
2014-04-10,0.0
